"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"151","pareto","2.48","300","levy","2577","7","5.639634006256962","85.45394032897866"
"152","pareto","2.48","300","levy","2277","53","7.366922171108207","54.14054857755845"
"154","pareto","2.52","300","levy","2299","52","8.394958880725792","47.251270600766766"
"153","pareto","2.52","300","levy","2335","11","3.2724039258872804","39.645166153675575"
"155","pareto","2.52","300","levy","2053","17","3.675032542573353","54.062298228613116"
"156","pareto","2.52","300","levy","2487","33","8.096994366757901","64.8503588936221"
"159","pareto","2.56","300","levy","1894","3","0.575716269144233","33.05367990356757"
"157","pareto","2.56","300","levy","2179","9","2.7194328253293145","60.62342965276978"
"160","pareto","2.56","300","levy","2192","26","7.564787541355976","75.10933719143009"
"158","pareto","2.56","300","levy","2189","17","5.572996961662909","53.85083322198596"
"161","pareto","2.6","300","levy","2042","5","2.6757123287687143","70.93717924687559"
"162","pareto","2.6","300","levy","1957","4","4.01136136459762","70.65367638853537"
"165","pareto","2.64","300","levy","1984","36","8.21045648156852","67.21708222904765"
"163","pareto","2.6","300","levy","2153","12","4.582621179925038","51.47492172011951"
"164","pareto","2.6","300","levy","2155","11","3.7444418080689417","49.338498120943655"
"166","pareto","2.64","300","levy","2163","22","6.273167622536814","68.40095786872546"
"167","pareto","2.64","300","levy","2114","39","8.38156882320239","57.68902009365448"
"168","pareto","2.64","300","levy","2300","53","9.022700933862954","59.310746136247644"
"169","pareto","2.68","300","levy","1910","26","8.959963342208265","72.57034943101458"
"171","pareto","2.68","300","levy","1888","2","1.4109838718768235","81.87090921353547"
"170","pareto","2.68","300","levy","2089","1","0","0"
"172","pareto","2.68","300","levy","2000","4","1.8133483220731623","101.3565666435584"
"174","pareto","2.72","300","levy","1813","3","2.0680499475086274","69.89774047701086"
"173","pareto","2.72","300","levy","2011","6","2.2660606966879033","54.58846201839513"
"176","pareto","2.72","300","levy","1689","6","4.757272558639909","64.9496642545378"
"175","pareto","2.72","300","levy","2225","7","3.424972540054921","47.33716040725496"
"177","pareto","2.76","300","levy","1938","25","5.6968547760997374","49.51256862012996"
"178","pareto","2.76","300","levy","2193","1","0","0"
"181","pareto","2.8","300","levy","1909","10","3.5695625189163263","63.07446153263312"
"179","pareto","2.76","300","levy","2019","10","5.298527820031881","97.45225480841094"
"180","pareto","2.76","300","levy","2073","13","4.817718179143558","64.39411697116309"
"182","pareto","2.8","300","levy","1828","11","6.6737719162426075","76.92585990494293"
"183","pareto","2.8","300","levy","1942","8","4.921197040950016","46.00923281747306"
"184","pareto","2.8","300","levy","1883","6","3.4996444219356526","73.39029909731109"
"186","pareto","2.84","300","levy","1747","5","4.657289267037296","84.10095257964983"
"188","pareto","2.84","300","levy","1769","4","3.0151046123052962","68.01312197126872"
"189","pareto","2.88","300","levy","1818","20","5.534138383734232","49.90454297606029"
"187","pareto","2.84","300","levy","1875","12","3.1889172053319736","70.66083252761699"
"185","pareto","2.84","300","levy","2398","10","3.623458998732003","50.5160263690477"
"190","pareto","2.88","300","levy","2041","64","10.509309790231622","60.70179889989422"
"191","pareto","2.88","300","levy","2069","14","8.298566045497223","87.83941034264814"
"192","pareto","2.88","300","levy","2123","11","2.7817648211354644","76.92340875264422"
"195","pareto","2.92","300","levy","2008","1","0","0"
"193","pareto","2.92","300","levy","2123","19","5.956760571447441","63.679457837659776"
"196","pareto","2.92","300","levy","1685","11","2.8517816012086055","59.17578636767714"
"194","pareto","2.92","300","levy","2441","36","9.063376730925004","60.35897567960219"
"197","pareto","2.96","300","levy","2065","17","6.071051204562465","59.33793920642021"
"200","pareto","2.96","300","levy","1818","2","1.6649391820188537","99.74492703085383"
"199","pareto","2.96","300","levy","1916","1","0","0"
"201","pareto","3","300","levy","1847","12","4.7796406897391215","66.74449024671371"
"198","pareto","2.96","300","levy","2241","5","2.435665536168111","57.11268356128012"
"202","pareto","3","300","levy","2244","7","2.9415837547275947","77.92294739222925"
"204","pareto","3","300","levy","1912","2","3.4363943653849134","58.69584669634231"
"203","pareto","3","300","levy","2251","12","4.903860426396514","53.28515810445583"
"206","cauchy","1","300","levy","1881","1","0","0"
"205","cauchy","1","300","levy","1930","1","0","0"
"207","cauchy","1","300","levy","2216","1","0","0"
"210","cauchy","1.04","300","levy","2328","1","0","0"
"209","cauchy","1.04","300","levy","1759","1","0","0"
"208","cauchy","1","300","levy","2012","1","0","0"
"212","cauchy","1.04","300","levy","1774","1","0","0"
"213","cauchy","1.08","300","levy","1939","1","0","0"
"211","cauchy","1.04","300","levy","2265","1","0","0"
"215","cauchy","1.08","300","levy","2035","1","0","0"
"214","cauchy","1.08","300","levy","1978","1","0","0"
"216","cauchy","1.08","300","levy","2011","1","0","0"
"219","cauchy","1.12","300","levy","1879","1","0","0"
"218","cauchy","1.12","300","levy","2290","1","0","0"
"217","cauchy","1.12","300","levy","1768","1","0","0"
"220","cauchy","1.12","300","levy","1883","1","0","0"
"221","cauchy","1.16","300","levy","2149","1","0","0"
"222","cauchy","1.16","300","levy","1739","1","0","0"
"224","cauchy","1.16","300","levy","2327","1","0","0"
"225","cauchy","1.2","300","levy","2209","1","0","0"
"223","cauchy","1.16","300","levy","2138","1","0","0"
"226","cauchy","1.2","300","levy","1735","1","0","0"
"228","cauchy","1.2","300","levy","2215","1","0","0"
"227","cauchy","1.2","300","levy","2016","1","0","0"
"229","cauchy","1.24","300","levy","2151","1","0","0"
"231","cauchy","1.24","300","levy","1762","1","0","0"
"230","cauchy","1.24","300","levy","2054","1","0","0"
"235","cauchy","1.28","300","levy","1657","1","0","0"
"232","cauchy","1.24","300","levy","2218","1","0","0"
"234","cauchy","1.28","300","levy","1835","2","4.362822905743977","3.3721168792195906"
"237","cauchy","1.32","300","levy","1588","1","0","0"
"236","cauchy","1.28","300","levy","1949","1","0","0"
"238","cauchy","1.32","300","levy","1873","1","0","0"
"233","cauchy","1.28","300","levy","1935","1","0","0"
"242","cauchy","1.36","300","levy","1618","1","0","0"
"239","cauchy","1.32","300","levy","2067","1","0","0"
"241","cauchy","1.36","300","levy","1913","3","9.171128205803772","157.64638670342543"
"245","cauchy","1.4","300","levy","1694","2","8.11478121459985","261.1623022510709"
"244","cauchy","1.36","300","levy","1832","1","0","0"
"243","cauchy","1.36","300","levy","2066","1","0","0"
"247","cauchy","1.4","300","levy","2035","1","0","0"
"246","cauchy","1.4","300","levy","1913","1","0","0"
"240","cauchy","1.32","300","levy","1865","1","0","0"
"248","cauchy","1.4","300","levy","1821","1","0","0"
"250","cauchy","1.44","300","levy","1753","1","0","0"
"251","cauchy","1.44","300","levy","1612","1","0","0"
"252","cauchy","1.44","300","levy","1942","1","0","0"
"253","cauchy","1.48","300","levy","1885","1","0","0"
"249","cauchy","1.44","300","levy","1720","1","0","0"
"256","cauchy","1.48","300","levy","1769","1","0","0"
"254","cauchy","1.48","300","levy","1911","1","0","0"
"255","cauchy","1.48","300","levy","2239","1","0","0"
"257","cauchy","1.52","300","levy","1748","1","0","0"
"259","cauchy","1.52","300","levy","1690","2","9.470959695672033","163.24287373733006"
"258","cauchy","1.52","300","levy","1570","1","0","0"
"260","cauchy","1.52","300","levy","1818","1","0","0"
"262","cauchy","1.56","300","levy","1766","1","0","0"
"263","cauchy","1.56","300","levy","1689","1","0","0"
"264","cauchy","1.56","300","levy","1838","1","0","0"
"267","cauchy","1.6","300","levy","1743","1","0","0"
"265","cauchy","1.6","300","levy","1866","1","0","0"
"261","cauchy","1.56","300","levy","2003","1","0","0"
"268","cauchy","1.6","300","levy","1943","1","0","0"
"266","cauchy","1.6","300","levy","1973","1","0","0"
"269","cauchy","1.64","300","levy","1593","1","0","0"
"271","cauchy","1.64","300","levy","1946","1","0","0"
"272","cauchy","1.64","300","levy","1699","1","0","0"
"274","cauchy","1.68","300","levy","1769","1","0","0"
"277","cauchy","1.72","300","levy","2117","1","0","0"
"278","cauchy","1.72","300","levy","1916","1","0","0"
"279","cauchy","1.72","300","levy","1947","1","0","0"
"276","cauchy","1.68","300","levy","2080","1","0","0"
"280","cauchy","1.72","300","levy","1824","1","0","0"
"281","cauchy","1.76","300","levy","1608","1","0","0"
"282","cauchy","1.76","300","levy","1591","1","0","0"
"275","cauchy","1.68","300","levy","1639","1","0","0"
"283","cauchy","1.76","300","levy","2074","1","0","0"
"285","cauchy","1.8","300","levy","1675","1","0","0"
"286","cauchy","1.8","300","levy","1780","1","0","0"
"270","cauchy","1.64","300","levy","1697","1","0","0"
"287","cauchy","1.8","300","levy","1676","2","6.798882834100952","239.86147411039676"
"284","cauchy","1.76","300","levy","1650","1","0","0"
"288","cauchy","1.8","300","levy","1910","3","8.590787050399575","98.35980579787162"
"289","cauchy","1.84","300","levy","1860","1","0","0"
"290","cauchy","1.84","300","levy","1711","1","0","0"
"292","cauchy","1.84","300","levy","1918","2","10.026198567447592","74.75361463475977"
"293","cauchy","1.88","300","levy","1570","1","0","0"
"294","cauchy","1.88","300","levy","1581","2","7.814458854457501","292.8366364910692"
"295","cauchy","1.88","300","levy","2029","2","5.930665825847139","199.94165730374016"
"297","cauchy","1.92","300","levy","1478","1","0","0"
"273","cauchy","1.68","300","levy","2038","1","0","0"
"296","cauchy","1.88","300","levy","2032","1","0","0"
"298","cauchy","1.92","300","levy","2056","1","0","0"
"299","cauchy","1.92","300","levy","1769","1","0","0"
"301","cauchy","1.96","300","levy","1542","1","0","0"
"300","cauchy","1.92","300","levy","2061","1","0","0"
"302","cauchy","1.96","300","levy","1699","1","0","0"
"303","cauchy","1.96","300","levy","1713","2","5.61883472526322","31.099348960829836"
"304","cauchy","1.96","300","levy","1470","1","0","0"
"305","cauchy","2","300","levy","1899","2","6.0018956249294035","104.34129563351402"
"306","cauchy","2","300","levy","1876","1","0","0"
"308","cauchy","2","300","levy","1963","1","0","0"
"307","cauchy","2","300","levy","1710","1","0","0"
"309","cauchy","2.04","300","levy","1687","1","0","0"
"311","cauchy","2.04","300","levy","1742","1","0","0"
