"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"486","lognormal","1","145","levy","9989","613","11.22462740858893","15.472929488534197"
"485","lognormal","1","145","levy","11667","671","11.933987004035227","14.829990887343028"
"487","lognormal","1","145","levy","11144","919","14.498179776406303","14.249419035988847"
"488","lognormal","1","145","levy","11010","989","13.897377292752815","14.805765352753363"
"489","lognormal","1","150","levy","11268","1051","13.583005917954111","15.670522539488298"
"491","lognormal","1","150","levy","10694","1125","14.30770751653106","14.678109041379646"
"490","lognormal","1","150","levy","10656","1142","11.637868671221945","15.06282281090952"
"492","lognormal","1","150","levy","9999","794","14.091427876500987","15.343173526410592"
"493","lognormal","1","155","levy","9725","1297","14.279977756830341","15.336977923255208"
"494","lognormal","1","155","levy","9766","1236","16.21387107621463","16.002831428938805"
"495","lognormal","1","155","levy","9485","1027","15.130110113446026","15.43268116907739"
"496","lognormal","1","155","levy","9678","939","14.716167947290785","15.542724459248445"
"498","lognormal","1","160","levy","10197","729","11.120656115748453","15.894795587606785"
"500","lognormal","1","160","levy","8406","900","12.013922360789497","15.400036589786591"
"497","lognormal","1","160","levy","11729","1045","11.954785084505708","15.743685886946004"
"499","lognormal","1","160","levy","13768","1231","11.874030691584046","15.803576551864888"
"501","lognormal","1","165","levy","9297","1004","10.976637612314263","15.791287317518462"
"502","lognormal","1","165","levy","9328","978","14.294555224764775","16.092001718460107"
"503","lognormal","1","165","levy","9897","909","12.700842616412611","16.103601519424984"
"504","lognormal","1","165","levy","11200","649","11.729695825180205","15.749814116178364"
"507","lognormal","1","170","levy","7910","1321","16.201957972240947","16.310069660441375"
"506","lognormal","1","170","levy","8518","640","11.318650754724619","16.616228280246496"
"505","lognormal","1","170","levy","8748","783","13.381857958139982","16.75316314624949"
"508","lognormal","1","170","levy","8389","1014","17.568396765829515","16.517373472121005"
"509","lognormal","1","175","levy","10204","780","11.411012746413679","16.6101365933869"
"511","lognormal","1","175","levy","8879","1457","12.373985947197795","16.41086427752454"
"510","lognormal","1","175","levy","10123","1379","15.758674239247178","16.681951924946627"
"512","lognormal","1","175","levy","10124","895","12.838154477249617","16.64652228907277"
"513","lognormal","1","180","levy","8948","660","11.179976345484377","16.583269706030876"
"514","lognormal","1","180","levy","9404","1123","11.631302330795307","16.802475340697704"
"515","lognormal","1","180","levy","8462","720","9.411145253739235","17.27625452729265"
"516","lognormal","1","180","levy","9285","916","12.073716012768895","17.04915918113743"
"519","lognormal","1","185","levy","8172","950","13.97978254824972","16.511544968998887"
"518","lognormal","1","185","levy","8400","802","13.34913031699599","16.85466253083412"
"517","lognormal","1","185","levy","10022","1071","11.697203499717425","17.329082121659027"
"520","lognormal","1","185","levy","9084","1224","9.796466090658669","16.69270588023907"
"521","lognormal","1","190","levy","9231","852","13.385530129769819","17.445412667653972"
"522","lognormal","1","190","levy","8735","1078","12.606313100669432","17.26682335302919"
"524","lognormal","1","190","levy","9100","870","13.374186689660629","17.083058197326853"
"523","lognormal","1","190","levy","9071","841","9.129317458573812","18.04304158844404"
"526","lognormal","1","195","levy","8377","1063","12.89268324014617","17.91135890430046"
"525","lognormal","1","195","levy","11001","994","11.882710400658496","17.217190354020058"
"527","lognormal","1","195","levy","8371","1121","16.08060169011452","17.42233641173353"
"528","lognormal","1","195","levy","7914","915","12.625758341641713","17.60582682064986"
"529","lognormal","1","200","levy","8677","937","13.130394612335643","17.71694523984241"
"530","lognormal","1","200","levy","8460","942","13.261868607404189","17.203643715401387"
"531","lognormal","1","200","levy","8092","797","13.260191869652921","17.686674532582977"
"534","lognormal","1","205","levy","8004","1122","11.771788365644667","17.628001354650397"
"532","lognormal","1","200","levy","10329","942","11.52379757295871","18.09952760570658"
"533","lognormal","1","205","levy","9327","644","10.262882753836305","17.97619410499232"
"536","lognormal","1","205","levy","8274","1104","13.09629322051282","17.789316498685217"
"537","lognormal","1","210","levy","7500","1066","12.70310318523764","18.27964791163797"
"535","lognormal","1","205","levy","10022","1308","17.348746515371353","17.77958001540892"
"538","lognormal","1","210","levy","7758","628","13.083368502853816","17.846402948641042"
"539","lognormal","1","210","levy","8118","1420","11.218300545325633","18.11800486808391"
"540","lognormal","1","210","levy","9504","894","13.459610025456978","18.063382940876885"
"542","lognormal","1","215","levy","8673","806","14.317277504645908","18.593522314497385"
"543","lognormal","1","215","levy","8525","907","11.914121788176743","18.22755276478176"
"541","lognormal","1","215","levy","8998","771","11.782970608523595","18.226174338831626"
"544","lognormal","1","215","levy","9343","730","11.77555100374802","18.376763818300077"
"545","lognormal","1","220","levy","7968","909","14.449655662043313","18.258523735233418"
"546","lognormal","1","220","levy","7655","719","12.175737188309423","18.30473338521868"
"547","lognormal","1","220","levy","7624","949","13.616817514578983","18.15576994354053"
"548","lognormal","1","220","levy","9166","922","12.186745754611245","18.977795614699712"
"549","lognormal","1","225","levy","7881","877","11.642411050978836","18.895026143489034"
