"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"158","0","2.56","300","deterministic","2753","40","83.85280512409992","37.16943149285089"
"160","0","2.56","300","deterministic","2888","40","83.85280512409992","38.77715329102529"
"162","0","2.6","300","deterministic","1988","39","82.77252359228048","31.158335838296562"
"161","0","2.6","300","deterministic","2491","39","82.77252359228048","30.03808583585552"
"164","0","2.6","300","deterministic","1943","39","82.77252359228048","16.294255055826802"
"163","0","2.6","300","deterministic","2413","39","82.77252359228048","47.76774660731709"
"165","0","2.64","300","deterministic","2685","39","84.04594703216212","59.51047421830203"
"167","0","2.64","300","deterministic","2118","39","84.04594703216209","68.23764003422635"
"168","0","2.64","300","deterministic","2005","39","84.04594703216206","30.26068938853233"
"166","0","2.64","300","deterministic","2628","39","84.04594703216209","36.9699025098226"
"170","0","2.68","300","deterministic","2253","38","82.85819641880073","54.51534597533738"
"169","0","2.68","300","deterministic","3011","38","82.8581964188007","37.858439134554075"
"171","0","2.68","300","deterministic","2164","38","82.85819641880073","16.98566518415468"
"172","0","2.68","300","deterministic","1914","38","82.8581964188007","67.80368868044098"
"173","0","2.72","300","deterministic","2296","37","81.60000000000011","36.8134804813743"
"175","0","2.72","300","deterministic","1887","37","81.60000000000011","20.242521410819418"
"174","0","2.72","300","deterministic","2316","37","81.60000000000008","32.864023474504144"
"176","0","2.72","300","deterministic","2279","37","81.60000000000011","20.540500544912707"
"177","0","2.76","300","deterministic","2196","37","82.79999999999974","20.207120108707755"
"178","0","2.76","300","deterministic","2463","37","82.79999999999977","17.705136197535435"
"181","0","2.8","300","deterministic","1838","36","81.43497660732108","26.02423494100819"
"179","0","2.76","300","deterministic","2222","37","82.79999999999978","41.00076847004194"
"180","0","2.76","300","deterministic","2308","37","82.79999999999971","38.93979799256613"
"182","0","2.8","300","deterministic","2186","36","81.43497660732108","26.037771602575308"
"184","0","2.8","300","deterministic","1818","36","81.43497660732106","39.48108474611658"
"183","0","2.8","300","deterministic","2053","36","81.43497660732108","50.00492930141742"
"185","0","2.84","300","deterministic","2076","36","82.59833341599699","18.92515361095614"
"186","0","2.84","300","deterministic","2252","36","82.59833341599699","17.394518608810042"
"187","0","2.84","300","deterministic","2393","36","82.59833341599699","39.05010873019212"
"189","0","2.88","300","deterministic","2058","35","81.12685854284562","35.87384175881781"
"188","0","2.84","300","deterministic","2458","36","82.59833341599696","74.92077479171706"
"190","0","2.88","300","deterministic","2080","35","81.1268585428456","71.01568503013829"
"192","0","2.88","300","deterministic","2048","35","81.12685854284562","22.950450130324338"
"191","0","2.88","300","deterministic","2304","35","81.12685854284561","59.1238739686627"
"193","0","2.92","300","deterministic","2486","35","82.25362046705152","36.99574563316565"
"195","0","2.92","300","deterministic","2193","35","82.25362046705152","26.547525400894553"
"196","0","2.92","300","deterministic","1938","35","82.25362046705155","78.17311938383452"
"194","0","2.92","300","deterministic","2493","35","82.25362046705152","53.99421459192149"
"197","0","2.96","300","deterministic","2097","34","80.67609456624744","40.285804420891374"
"198","0","2.96","300","deterministic","2215","34","80.67609456624744","49.04742312237664"
"199","0","2.96","300","deterministic","1953","34","80.67609456624744","29.175685638005543"
"205","1","1","300","deterministic","2047","111","10.690152669893488","14.627570249190985"
"200","0","2.96","300","deterministic","2426","34","80.67609456624744","82.85080575927124"
"203","0","3","300","deterministic","2221","34","81.76631206038591","28.966533790390876"
"206","1","1","300","deterministic","1514","113","12.312586269780645","19.55642351765771"
"201","0","3","300","deterministic","2759","34","81.7663120603859","26.179961201771054"
"202","0","3","300","deterministic","2759","34","81.76631206038591","64.66668445855703"
"204","0","3","300","deterministic","2759","34","81.7663120603859","72.67437309445067"
"207","1","1","300","deterministic","2055","106","9.897331415433294","7.572336856928152"
"208","1","1","300","deterministic","1897","424","48.52894068630795","15.215577596957212"
"209","1","1.04","300","deterministic","1862","400","47.06805009790272","29.754412622442466"
"211","1","1.04","300","deterministic","1906","110","15.148016244990124","9.66472712811461"
"210","1","1.04","300","deterministic","1968","139","14.139864172514027","16.15550166106393"
"212","1","1.04","300","deterministic","1852","97","10.756292526693798","16.530157745460787"
"213","1","1.08","300","deterministic","1693","96","9.418654524672093","26.134488888154888"
"214","1","1.08","300","deterministic","1702","94","12.035679098398967","7.447886632313554"
"215","1","1.08","300","deterministic","1709","375","44.92246038714026","6.940838776879215"
"216","1","1.08","300","deterministic","1716","96","11.283647704686178","9.812774770200523"
"218","1","1.12","300","deterministic","1662","100","11.40023968158657","16.159714670019685"
"217","1","1.12","300","deterministic","1720","91","10.71975346187561","5.381542427889066"
"219","1","1.12","300","deterministic","1738","93","11.7073966402588","12.56012485736194"
"220","1","1.12","300","deterministic","1908","122","12.090584639198944","22.39397075623721"
"221","1","1.16","300","deterministic","1751","382","49.2585784148952","11.909997834043438"
"222","1","1.16","300","deterministic","2012","90","9.922392755235466","6.052690728366023"
"223","1","1.16","300","deterministic","1861","94","10.96107984408601","41.212554923250686"
"226","1","1.2","300","deterministic","1563","121","12.482827696341817","9.111682919227636"
"225","1","1.2","300","deterministic","1853","84","13.224853881008826","32.01907909041981"
"224","1","1.16","300","deterministic","1954","92","11.897912287730097","26.6556228856509"
"227","1","1.2","300","deterministic","1639","85","10.292185094564301","10.638985496503002"
"229","1","1.24","300","deterministic","1576","98","12.488079654789242","11.390682527419505"
"228","1","1.2","300","deterministic","1805","407","55.048521763853884","10.638460671064657"
"230","1","1.24","300","deterministic","1595","86","11.93920177262684","11.299501715162197"
"231","1","1.24","300","deterministic","1552","91","14.688803144790295","13.83169978615101"
"232","1","1.24","300","deterministic","1711","117","14.382007144233432","16.57365657945448"
"233","1","1.28","300","deterministic","1648","85","11.969467568491144","12.711842486862038"
"236","1","1.28","300","deterministic","1518","92","11.112083121706984","25.44550858415434"
"235","1","1.28","300","deterministic","1638","360","50.75430763519515","25.791241179754415"
"234","1","1.28","300","deterministic","1895","86","12.607335520233908","10.486128829811596"
"237","1","1.32","300","deterministic","1716","320","44.86854081026912","30.974178168307176"
"238","1","1.32","300","deterministic","1503","77","9.406817830826771","5.455547689866181"
"239","1","1.32","300","deterministic","1560","81","10.145957646744906","21.132528987820145"
"242","1","1.36","300","deterministic","1463","137","17.051218757613412","22.07800511935537"
"241","1","1.36","300","deterministic","1655","75","10.773259294454775","18.69537242119101"
"240","1","1.32","300","deterministic","1882","83","11.307427947853412","24.22805821873899"
"243","1","1.36","300","deterministic","1627","76","11.476589130759615","22.660026084409967"
"245","1","1.4","300","deterministic","1645","72","11.346405215038889","29.60658616913584"
"244","1","1.36","300","deterministic","1760","90","12.564785427347662","26.899244166557423"
"246","1","1.4","300","deterministic","1631","99","13.100595347112398","6.49111047549683"
"247","1","1.4","300","deterministic","1646","73","10.658340345093777","22.862255048159234"
"248","1","1.4","300","deterministic","1711","72","13.437138769898983","15.445311892718145"
"249","1","1.44","300","deterministic","1790","71","12.559744121078618","22.57773218527924"
"250","1","1.44","300","deterministic","1495","85","10.679651160848774","20.121312312346564"
"251","1","1.44","300","deterministic","1615","87","12.224514984480109","13.817902627326015"
"254","1","1.48","300","deterministic","1495","78","9.870331290540717","26.437481500418265"
"253","1","1.48","300","deterministic","1730","78","11.833404425470006","3.5026866271597186"
"255","1","1.48","300","deterministic","1462","69","13.93255108905344","29.03167048386441"
"252","1","1.44","300","deterministic","1939","75","10.08681405003516","34.37860673763789"
"256","1","1.48","300","deterministic","1455","69","11.289971688274832","17.20937621752028"
"257","1","1.52","300","deterministic","1392","67","11.578309344198923","13.86125293045689"
"258","1","1.52","300","deterministic","1658","71","12.057282644117988","37.96053880902273"
"260","1","1.52","300","deterministic","1677","70","8.781112366394597","16.14217471247502"
"261","1","1.56","300","deterministic","1538","70","12.199804596707255","15.273681815852484"
"259","1","1.52","300","deterministic","1956","69","12.55101391908668","12.901638428131065"
"262","1","1.56","300","deterministic","1674","66","11.179736104044407","17.74578398013861"
"263","1","1.56","300","deterministic","1575","71","13.848936881750046","19.862912962836873"
"265","1","1.6","300","deterministic","1427","64","11.21177147522318","34.88357630892816"
