"[run number]","dist-for-first","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"81","uniform","1.8","300","Discrete directions, continuous step","3817","571","5.991211414680102","31.14245689113155"
"80","uniform","1.76","300","Discrete directions, continuous step","4546","292","5.7571414144122315","30.450413681373128"
"82","uniform","1.8","300","Discrete directions, continuous step","4255","375","5.753468441210167","31.179060927696828"
"84","uniform","1.8","300","Discrete directions, continuous step","3545","477","4.937110299829897","32.305454570498256"
"83","uniform","1.8","300","Discrete directions, continuous step","4204","472","6.4956070276770745","32.3732285088574"
"85","uniform","1.84","300","Discrete directions, continuous step","3550","363","6.388901686475702","32.8973965185982"
"86","uniform","1.84","300","Discrete directions, continuous step","3540","471","6.636827648663342","32.310499865556245"
"87","uniform","1.84","300","Discrete directions, continuous step","3522","527","5.368955716960706","32.45731218510687"
"88","uniform","1.84","300","Discrete directions, continuous step","3220","339","5.356530047968867","32.34281967776621"
"89","uniform","1.88","300","Discrete directions, continuous step","3468","519","3.131140283924907","32.18604642083113"
"90","uniform","1.88","300","Discrete directions, continuous step","3511","403","8.001136586142117","34.37438401422985"
"93","uniform","1.92","300","Discrete directions, continuous step","3103","411","6.804747868303551","35.00671677257674"
"92","uniform","1.88","300","Discrete directions, continuous step","3454","390","5.9400742928610555","31.965572085026"
"91","uniform","1.88","300","Discrete directions, continuous step","4013","362","6.533890985045815","33.709445308570025"
"94","uniform","1.92","300","Discrete directions, continuous step","3402","386","7.262787154373562","35.26720337284612"
"96","uniform","1.92","300","Discrete directions, continuous step","3466","318","4.426168723390177","35.24292696600917"
"95","uniform","1.92","300","Discrete directions, continuous step","3905","365","5.618716386028581","34.165605261758266"
"98","uniform","1.96","300","Discrete directions, continuous step","3525","425","5.948015916216647","34.9129389218748"
"99","uniform","1.96","300","Discrete directions, continuous step","3028","231","4.907634013340974","35.32149437221546"
"97","uniform","1.96","300","Discrete directions, continuous step","3669","278","4.776602942979366","33.52671868009678"
"100","uniform","1.96","300","Discrete directions, continuous step","3051","374","6.1560034071144045","33.21723667340844"
"101","uniform","2","300","Discrete directions, continuous step","3205","287","6.780696462046947","33.842779053315475"
"102","uniform","2","300","Discrete directions, continuous step","3137","424","4.71459264112444","34.38524904520129"
"106","uniform","2.04","300","Discrete directions, continuous step","3004","346","5.094557737565175","35.137766910929706"
"103","uniform","2","300","Discrete directions, continuous step","3525","287","4.750830460785437","35.12118229875233"
"104","uniform","2","300","Discrete directions, continuous step","3267","323","5.556428213243649","35.41046722644241"
"105","uniform","2.04","300","Discrete directions, continuous step","3782","310","5.498684505269868","35.26666187325291"
"108","uniform","2.04","300","Discrete directions, continuous step","2955","361","6.5683313919796475","35.2582365801611"
"107","uniform","2.04","300","Discrete directions, continuous step","2931","240","2.915605504007676","38.47412944873434"
"110","uniform","2.08","300","Discrete directions, continuous step","3148","322","6.819645293638537","36.78891048950451"
"109","uniform","2.08","300","Discrete directions, continuous step","3636","359","5.319714947477998","35.90661425717773"
"111","uniform","2.08","300","Discrete directions, continuous step","3614","293","7.93934748214442","36.35530049767237"
"112","uniform","2.08","300","Discrete directions, continuous step","3492","348","5.102267892643006","36.583108269852964"
"113","uniform","2.12","300","Discrete directions, continuous step","2799","373","7.178414966329257","36.34776464059481"
"114","uniform","2.12","300","Discrete directions, continuous step","3145","267","7.347784897596455","38.628844253236444"
"115","uniform","2.12","300","Discrete directions, continuous step","2944","297","4.363819781357648","37.650083413052855"
